CWE127_Buffer_Underread_s01

Total files, 958

Files not reported, 744

Total OKs, 0, 0%
Total Fails, 214, 22.3382045929019%

File, Expected Bugs, Found Bugs, Bug was found?

CWE127_Buffer_Underread__CWE839_connect_socket_73a.cpp,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__char_alloca_cpy_32.c,Memory leak,Assigned value is garbage or undefined;Dead initialization,Fail
CWE127_Buffer_Underread__CWE839_fgets_41.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__char_declare_memcpy_13.c,Memory leak,Uninitialized argument value,Fail
CWE127_Buffer_Underread__CWE839_listen_socket_73a.cpp,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__char_declare_memmove_05.c,Memory leak,Uninitialized argument value,Fail
CWE127_Buffer_Underread__char_alloca_memcpy_11.c,Memory leak,Uninitialized argument value,Fail
CWE127_Buffer_Underread__CWE839_fscanf_21.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_connect_socket_81a.cpp,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__char_alloca_memmove_07.c,Memory leak,Uninitialized argument value,Fail
CWE127_Buffer_Underread__CWE839_listen_socket_21.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__char_declare_memmove_32.c,Memory leak,Dead initialization;Assigned value is garbage or undefined,Fail
CWE127_Buffer_Underread__char_alloca_memcpy_32.c,Memory leak,Assigned value is garbage or undefined;Dead initialization,Fail
CWE127_Buffer_Underread__char_declare_memcpy_33.cpp,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_connect_socket_31.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_connect_socket_52a.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_connect_socket_16.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_fscanf_33.cpp,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__char_alloca_memmove_05.c,Memory leak,Uninitialized argument value,Fail
CWE127_Buffer_Underread__CWE839_listen_socket_82a.cpp,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_listen_socket_45.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_listen_socket_68a.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__char_alloca_loop_07.c,Memory leak,Dereference of undefined pointer value,Fail
CWE127_Buffer_Underread__CWE839_listen_socket_32.c,Memory leak,Dead initialization,Fail
CWE127_Buffer_Underread__CWE839_fscanf_66a.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_fscanf_73a.cpp,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__char_alloca_loop_05.c,Memory leak,Dereference of undefined pointer value,Fail
CWE127_Buffer_Underread__CWE839_fgets_81a.cpp,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__char_declare_ncpy_10.c,Memory leak,Uninitialized argument value,Fail
CWE127_Buffer_Underread__CWE839_fgets_21.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_fscanf_31.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_fscanf_45.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__char_declare_memmove_14.c,Memory leak,Uninitialized argument value,Fail
CWE127_Buffer_Underread__CWE839_listen_socket_15.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_fgets_02.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_listen_socket_67a.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_fscanf_72a.cpp,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_connect_socket_44.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__char_declare_cpy_32.c,Memory leak,Dead initialization;Assigned value is garbage or undefined,Fail
CWE127_Buffer_Underread__char_declare_ncpy_09.c,Memory leak,Uninitialized argument value,Fail
CWE127_Buffer_Underread__CWE839_listen_socket_12.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_fscanf_03.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__char_declare_memmove_09.c,Memory leak,Uninitialized argument value,Fail
CWE127_Buffer_Underread__char_alloca_ncpy_05.c,Memory leak,Uninitialized argument value,Fail
CWE127_Buffer_Underread__char_declare_cpy_07.c,Memory leak,Uninitialized argument value,Fail
CWE127_Buffer_Underread__CWE839_connect_socket_02.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__char_alloca_memmove_13.c,Memory leak,Uninitialized argument value,Fail
