CWE122_Heap_Based_Buffer_Overflow_s10

Total files, 936

Files not reported, 916

Total OKs, 4, 0.427350427350427%
Total Fails, 16, 1.70940170940171%

File, Expected Bugs, Found Bugs, Bug was found?

CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_09.c,Memory leak,Argument with 'nonnull' attribute passed null,Fail
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_14.c,Memory leak,Argument with 'nonnull' attribute passed null,Fail
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_10.c,Memory leak,Argument with 'nonnull' attribute passed null,Fail
CWE122_Heap_Based_Buffer_Overflow__c_src_char_cat_34.c,Memory leak,Memory leak,OK
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_13.c,Memory leak,Argument with 'nonnull' attribute passed null,Fail
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_11.c,Memory leak,Argument with 'nonnull' attribute passed null,Fail
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_13.c,Memory leak,Argument with 'nonnull' attribute passed null,Fail
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_09.c,Memory leak,Argument with 'nonnull' attribute passed null,Fail
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_07.c,Memory leak,Argument with 'nonnull' attribute passed null,Fail
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_34.c,Memory leak,Memory leak,OK
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_10.c,Memory leak,Argument with 'nonnull' attribute passed null,Fail
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_11.c,Memory leak,Argument with 'nonnull' attribute passed null,Fail
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_32.c,Memory leak,Dead initialization,Fail
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_32.c,Memory leak,Dead initialization,Fail
CWE122_Heap_Based_Buffer_Overflow__c_src_char_cpy_34.c,Memory leak,Memory leak,OK
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_34.c,Memory leak,Memory leak,OK
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_05.c,Memory leak,Argument with 'nonnull' attribute passed null,Fail
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_07.c,Memory leak,Argument with 'nonnull' attribute passed null,Fail
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_14.c,Memory leak,Argument with 'nonnull' attribute passed null,Fail
CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_05.c,Memory leak,Argument with 'nonnull' attribute passed null,Fail
