CWE190_Integer_Overflow_s03

Total files, 902

Files not reported, 561

Total OKs, 0, 0%
Total Fails, 341, 37.8048780487805%

File, Expected Bugs, Found Bugs, Bug was found?

CWE190_Integer_Overflow__int_max_square_34.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_41.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_31.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_04.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_54a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_66a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_52a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_81a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_12.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_81a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_02.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_72a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_21.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_73a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_22a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_22a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_72a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_04.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_31.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_45.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_72a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_65a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_16.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_33.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_65a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_01.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_72a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_81a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_82a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_06.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_67a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_41.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_53a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_06.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_22a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_45.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_12.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_18.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_82a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_33.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_12.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_32.c,Memory leak,Dead initialization,Fail
CWE190_Integer_Overflow__int_fscanf_add_74a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_32.c,Memory leak,Dead initialization,Fail
CWE190_Integer_Overflow__int_fscanf_square_32.c,Memory leak,Dead initialization,Fail
CWE190_Integer_Overflow__int_fscanf_add_01.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_15.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_21.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_18.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_32.c,Memory leak,Dead initialization,Fail
CWE190_Integer_Overflow__int_listen_socket_square_53a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_81a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_06.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_73a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_04.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_32.c,Memory leak,Dead initialization,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_15.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_67a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_52a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_44.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_04.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_12.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_66a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_41.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_01.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_45.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_68a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_66a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_45.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_15.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_04.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_12.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_04.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_73a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_32.c,Memory leak,Dead initialization,Fail
CWE190_Integer_Overflow__int_max_add_41.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_65a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_16.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_21.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_53a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_06.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_33.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_33.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_72a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_32.c,Memory leak,Dead initialization,Fail
CWE190_Integer_Overflow__int_max_add_34.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_53a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_51a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_74a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_44.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_54a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_54a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_44.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_02.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_67a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_82a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_74a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_04.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_73a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_18.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_73a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_52a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_34.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_16.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_67a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_15.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_44.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_45.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_16.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_16.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_45.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_33.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_06.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_65a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_53a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_34.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_65a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_68a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_45.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_22a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_82a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_82a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_33.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_82a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_33.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_15.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_03.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_53a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_31.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_21.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_15.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_33.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_65a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_06.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_02.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_44.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_02.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_31.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_21.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_01.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_52a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_34.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_01.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_44.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_74a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_12.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_74a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_15.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_73a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_03.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_67a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_68a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_03.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_51a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_53a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_15.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_72a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_52a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_66a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_21.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_82a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_31.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_03.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_22a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_03.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_01.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_03.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_03.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_82a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_32.c,Memory leak,Dead initialization,Fail
CWE190_Integer_Overflow__int_max_square_72a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_22a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_52a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_54a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_45.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_52a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_66a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_45.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_72a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_12.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_21.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_52a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_51a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_53a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_16.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_01.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_18.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_31.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_65a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_41.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_16.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_51a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_54a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_16.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_21.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_01.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_51a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_72a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_16.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_67a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_33.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_18.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_82a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_45.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_66a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_06.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_65a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_22a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_81a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_02.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_67a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_81a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_03.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_53a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_18.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_31.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_44.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_01.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_31.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_66a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_41.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_44.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_15.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_52a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_02.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_73a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_03.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_54a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_03.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_81a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_68a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_33.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_81a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_18.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_44.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_31.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_22a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_82a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_02.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_51a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_32.c,Memory leak,Dead initialization,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_66a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_82a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_74a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_51a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_68a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_12.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_06.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_68a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_51a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_02.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_74a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_04.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_12.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_32.c,Memory leak,Dead initialization,Fail
CWE190_Integer_Overflow__int_fscanf_square_18.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_02.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_74a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_square_18.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_44.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_68a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_04.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_03.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_54a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_41.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_44.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_68a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_15.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_54a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_22a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_32.c,Memory leak,Dead initialization,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_67a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_34.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_53a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_multiply_06.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_52a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_74a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_16.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_01.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_15.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_72a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_34.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_54a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_66a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_65a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_73a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_67a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_31.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_67a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_add_33.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_02.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_34.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_51a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_51a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_01.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_multiply_68a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_72a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_22a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_68a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_12.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_square_06.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_multiply_34.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_73a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_max_add_54a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_multiply_02.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_square_81a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_listen_socket_add_74a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fscanf_square_65a.c,Memory leak,Dead assignment,Fail
