CWE190_Integer_Overflow_s02

Total files, 902

Files not reported, 561

Total OKs, 0, 0%
Total Fails, 341, 37.8048780487805%

File, Expected Bugs, Found Bugs, Bug was found?

CWE190_Integer_Overflow__int_connect_socket_multiply_44.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_add_73a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_rand_square_04.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_rand_add_06.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_rand_multiply_66a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_rand_square_82a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_connect_socket_square_01.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_add_06.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_square_54a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_square_04.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_connect_socket_multiply_21.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_square_53a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_add_12.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_connect_socket_add_02.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_rand_add_74a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_add_33.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_square_31.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_connect_socket_square_18.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_connect_socket_square_34.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_square_34.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_rand_multiply_06.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_rand_add_51a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_connect_socket_square_15.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_connect_socket_multiply_68a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_add_22a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_rand_square_22a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_add_34.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_add_67a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_add_44.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_fscanf_square_04.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_connect_socket_square_52a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_add_65a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_square_16.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_rand_multiply_53a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_connect_socket_add_52a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_square_22a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_rand_multiply_52a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_fscanf_square_12.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_fscanf_square_03.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_add_06.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_connect_socket_add_68a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_fscanf_square_53a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_fscanf_square_82a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_add_54a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_connect_socket_add_41.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_fscanf_square_67a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_add_81a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_connect_socket_add_82a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_rand_multiply_44.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_square_41.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_rand_multiply_41.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_square_45.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_square_72a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_connect_socket_add_03.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_rand_add_44.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_connect_socket_multiply_33.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_add_02.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_rand_square_45.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_square_32.c,Memory leak,Dead initialization,Fail
CWE190_Integer_Overflow__int_fgets_add_68a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_connect_socket_add_01.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_rand_square_52a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_rand_multiply_04.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_connect_socket_add_06.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_square_82a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_multiply_81a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_connect_socket_square_53a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_max_multiply_18.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int_fgets_add_21.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_rand_multiply_81a.cpp,Memory leak,Dead assignment,Fail
