CWE122_Heap_Based_Buffer_Overflow_s11

Total files, 338

Files not reported, 152

Total OKs, 43, 12.7218934911243%
Total Fails, 143, 42.3076923076923%

File, Expected Bugs, Found Bugs, Bug was found?

CWE122_Heap_Based_Buffer_Overflow__sizeof_double_43.cpp,Memory leak,Allocator sizeof operand mismatch,Fail
CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_43.cpp,Memory leak,Allocator sizeof operand mismatch,Fail
CWE122_Heap_Based_Buffer_Overflow__sizeof_double_82a.cpp,Memory leak,Allocator sizeof operand mismatch,Fail
CWE122_Heap_Based_Buffer_Overflow__sizeof_double_53a.c,Memory leak,Allocator sizeof operand mismatch,Fail
CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_04.c,Memory leak,Allocator sizeof operand mismatch,Fail
CWE122_Heap_Based_Buffer_Overflow__sizeof_double_15.c,Memory leak,Allocator sizeof operand mismatch,Fail
CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_51a.c,Memory leak,Allocator sizeof operand mismatch,Fail
CWE122_Heap_Based_Buffer_Overflow__sizeof_double_21.c,Memory leak,Allocator sizeof operand mismatch,Fail
CWE122_Heap_Based_Buffer_Overflow__placement_new_34.cpp,Memory leak,Dead initialization;Allocator sizeof operand mismatch;Memory leak,OK
CWE122_Heap_Based_Buffer_Overflow__placement_new_81a.cpp,Memory leak,Memory leak;Allocator sizeof operand mismatch;Dead initialization,OK
CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_01.c,Memory leak,Allocator sizeof operand mismatch,Fail
CWE122_Heap_Based_Buffer_Overflow__sizeof_double_01.c,Memory leak,Allocator sizeof operand mismatch,Fail
CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_10.c,Memory leak,Allocator sizeof operand mismatch,Fail
CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_31.c,Memory leak,Allocator sizeof operand mismatch,Fail
CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_62b.cpp,Memory leak,Allocator sizeof operand mismatch,Fail
CWE122_Heap_Based_Buffer_Overflow__placement_new_41.cpp,Memory leak,Dead initialization;Memory leak;Allocator sizeof operand mismatch,OK
CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_12.c,Memory leak,Allocator sizeof operand mismatch,Fail
CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_68a.c,Memory leak,Allocator sizeof operand mismatch,Fail
CWE122_Heap_Based_Buffer_Overflow__placement_new_07.cpp,Memory leak,Memory leak;Allocator sizeof operand mismatch;Dead initialization;Assigned value is garbage or undefined,OK
CWE122_Heap_Based_Buffer_Overflow__sizeof_double_02.c,Memory leak,Allocator sizeof operand mismatch,Fail
CWE122_Heap_Based_Buffer_Overflow__sizeof_double_74a.cpp,Memory leak,Allocator sizeof operand mismatch,Fail
CWE122_Heap_Based_Buffer_Overflow__sizeof_double_05.c,Memory leak,Allocator sizeof operand mismatch;Dereference of null pointer,Fail
