CWE121_Stack_Based_Buffer_Overflow_s03

Total files, 945

Files not reported, 633

Total OKs, 0, 0%
Total Fails, 312, 33.015873015873%

File, Expected Bugs, Found Bugs, Bug was found?

CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_04.c,Memory leak,Out-of-bound array access,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_loop_68a.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_04.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_03.c,Memory leak,Out-of-bound array access,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_06.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_15.c,Memory leak,Out-of-bound array access,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_32.c,Memory leak,Assigned value is garbage or undefined;Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_ncpy_13.c,Memory leak,Uninitialized argument value;Dead initialization;Out-of-bound array access,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_ncat_64a.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_ncpy_54a.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_ncpy_67a.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_17.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_32.c,Memory leak,Dead initialization;Assigned value is garbage or undefined,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_memcpy_31.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_memcpy_34.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_ncpy_64a.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_memcpy_13.c,Memory leak,Uninitialized argument value;Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_memmove_03.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_74a.cpp,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_loop_18.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_memcpy_64a.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_memmove_33.cpp,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_01.c,Memory leak,Out-of-bound array access,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_memmove_04.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_ncpy_15.c,Memory leak,Dead initialization;Out-of-bound array access,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncpy_16.c,Memory leak,Out-of-bound array access,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_ncat_13.c,Memory leak,Dead initialization;Uninitialized argument value;Out-of-bound array access,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_memcpy_05.c,Memory leak,Uninitialized argument value;Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_memcpy_09.c,Memory leak,Dead initialization;Uninitialized argument value,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_loop_67a.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_ncat_06.c,Memory leak,Dead initialization;Out-of-bound array access,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_memmove_34.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_ncpy_03.c,Memory leak,Out-of-bound array access;Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_15.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_memmove_14.c,Memory leak,Uninitialized argument value;Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_memmove_82a.cpp,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_memcpy_53a.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_67a.c,Memory leak,Dead initialization,Fail
