CWE369_Divide_by_Zero_s01

Total files, 902

Files not reported, 561

Total OKs, 0, 0%
Total Fails, 341, 37.8048780487805%

File, Expected Bugs, Found Bugs, Bug was found?
CWE369_Divide_by_Zero__float_connect_socket_01.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_41.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_modulo_44.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_33.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_rand_15.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_divide_01.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_rand_04.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_divide_03.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_connect_socket_33.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_divide_16.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_45.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_34.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_65a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_16.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_81a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_32.c,Division by zero,Dead initialization,Fail
CWE369_Divide_by_Zero__int_connect_socket_divide_73a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_divide_34.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_51a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_15.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_41.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_divide_12.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_zero_41.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_12.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_modulo_12.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_02.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_03.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_rand_34.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_zero_12.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_divide_32.c,Division by zero,Dead initialization,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_68a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_rand_66a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_31.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_zero_82a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_rand_16.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_connect_socket_21.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_divide_31.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_zero_53a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_modulo_31.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_04.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_connect_socket_16.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_connect_socket_03.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_82a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_03.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_connect_socket_32.c,Division by zero,Dead initialization,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_67a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_53a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_68a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_51a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_divide_72a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_33.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_67a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_rand_18.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_rand_45.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_34.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_52a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_67a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_54a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_modulo_21.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_41.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_03.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_modulo_06.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_divide_31.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_52a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_32.c,Division by zero,Dead initialization,Fail
CWE369_Divide_by_Zero__int_fgets_modulo_72a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_74a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_divide_67a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_modulo_41.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_82a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_rand_81a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_73a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_connect_socket_52a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_connect_socket_12.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_zero_34.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_81a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_connect_socket_53a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_modulo_18.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_connect_socket_67a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_divide_34.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_74a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_zero_54a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_44.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_53a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_73a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_66a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_34.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_32.c,Division by zero,Dead initialization,Fail
CWE369_Divide_by_Zero__float_zero_22a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_52a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_06.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_73a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_rand_22a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_rand_12.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_connect_socket_54a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_06.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_divide_02.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_12.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_53a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_modulo_81a.cpp,Division by zero,Dead assignment,Fail
