CWE401_Memory_Leak_s01

Total files, 916

Files not reported, 470

Total OKs, 333, 36.353711790393%
Total Fails, 113, 12.3362445414847%

File, Expected Bugs, Found Bugs, Bug was found?

CWE401_Memory_Leak__malloc_realloc_int64_t_08.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int64_t_malloc_61a.c,Memory leak,Dead assignment,Fail
CWE401_Memory_Leak__char_calloc_08.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int64_t_realloc_61b.c,Memory leak,Return of address to stack-allocated memory,Fail
CWE401_Memory_Leak__int64_t_malloc_04.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__malloc_realloc_twoIntsStruct_09.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int64_t_malloc_31.c,Memory leak,Dead initialization;Memory leak,OK
CWE401_Memory_Leak__int_malloc_61b.c,Memory leak,Return of address to stack-allocated memory,Fail
CWE401_Memory_Leak__char_realloc_44.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int_calloc_31.c,Memory leak,Memory leak;Dead initialization,OK
CWE401_Memory_Leak__char_calloc_02.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int64_t_realloc_15.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int64_t_calloc_09.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int64_t_realloc_66b.c,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__char_malloc_07.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__malloc_realloc_int64_t_01.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int_malloc_74b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__int_realloc_08.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__malloc_realloc_char_16.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int64_t_calloc_11.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int_malloc_32.c,Memory leak,Memory leak;Dead initialization,OK
CWE401_Memory_Leak__int64_t_malloc_13.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int64_t_malloc_14.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__char_malloc_43.cpp,Memory leak,Memory leak,OK
CWE401_Memory_Leak__malloc_realloc_twoIntsStruct_02.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__malloc_realloc_int64_t_18.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__malloc_realloc_twoIntsStruct_11.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int_calloc_67b.c,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__malloc_realloc_twoIntsStruct_12.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__char_malloc_14.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int64_t_malloc_68b.c,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__int64_t_malloc_34.c,Memory leak,Dead initialization;Memory leak,OK
CWE401_Memory_Leak__int64_t_malloc_12.c,Memory leak,Bad free;Memory leak,OK
CWE401_Memory_Leak__int64_t_calloc_08.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__char_malloc_13.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int64_t_malloc_42.c,Memory leak,Memory leak;Dead assignment;Return of address to stack-allocated memory,OK
CWE401_Memory_Leak__int_realloc_06.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int64_t_calloc_04.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int_realloc_67b.c,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_14.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__malloc_realloc_int_03.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__char_malloc_68b.c,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__malloc_realloc_int64_t_03.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int_realloc_21.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int_realloc_12.c,Memory leak,Bad free;Memory leak,OK
CWE401_Memory_Leak__malloc_realloc_twoIntsStruct_15.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__malloc_realloc_struct_twoIntsStruct_15.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int_calloc_34.c,Memory leak,Memory leak;Dead initialization,OK
CWE401_Memory_Leak__int64_t_realloc_17.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__char_realloc_11.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int64_t_realloc_03.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__int_calloc_11.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__new_array_char_63b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__int_realloc_32.c,Memory leak,Dead initialization;Memory leak,OK
CWE401_Memory_Leak__int64_t_malloc_07.c,Memory leak,Memory leak,OK
