CWE121_Stack_Based_Buffer_Overflow_s01

Total files, 907

Files not reported, 634

Total OKs, 0, 0%
Total Fails, 273, 30.0992282249173%

File, Expected Bugs, Found Bugs, Bug was found?

CWE121_Stack_Based_Buffer_Overflow__CWE129_rand_15.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_large_52a.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_cpy_45.c,Memory leak,Dead initialization;Out-of-bound array access,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_06.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_cpy_33.cpp,Memory leak,Dead initialization;Out-of-bound array access,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_45.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_large_45.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_41.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_44.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_41.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_cpy_63a.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_18.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_65a.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_81a.cpp,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE131_loop_05.c,Memory leak,Dereference of null pointer,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_cpy_31.c,Memory leak,Dead initialization;Out-of-bound array access,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_16.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_67a.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_large_66a.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_81a.cpp,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_74a.cpp,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_52a.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_large_31.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_large_82a.cpp,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE131_loop_07.c,Memory leak,Dereference of null pointer,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_rand_51a.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE131_memmove_32.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE131_loop_13.c,Memory leak,Dereference of null pointer,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_72a.cpp,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_21.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_large_32.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE131_memcpy_10.c,Memory leak,Argument with 'nonnull' attribute passed null,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_cpy_13.c,Memory leak,Out-of-bound array access;Dead initialization;Uninitialized argument value,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_21.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE131_loop_21.c,Memory leak,Return of address to stack-allocated memory,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_12.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_cpy_15.c,Memory leak,Out-of-bound array access;Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_rand_65a.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE131_memcpy_14.c,Memory leak,Argument with 'nonnull' attribute passed null,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_06.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_73a.cpp,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_rand_81a.cpp,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_45.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_rand_33.cpp,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_large_41.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_53a.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE131_loop_09.c,Memory leak,Dereference of null pointer,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_31.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_large_65a.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_67a.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_large_81a.cpp,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_32.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_72a.cpp,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_16.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_rand_72a.cpp,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_68a.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_cpy_74a.cpp,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_large_51a.c,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_81a.cpp,Memory leak,Dead assignment,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE129_rand_54a.c,Memory leak,Dead assignment,Fail
