CWE191_Integer_Underflow_s02

Total files, 902

Files not reported, 561

Total OKs, 0, 0%
Total Fails, 341, 37.8048780487805%

File, Expected Bugs, Found Bugs, Bug was found?

CWE191_Integer_Underflow__int_fscanf_sub_72a.cpp,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_fgets_sub_06.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_min_sub_15.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_connect_socket_sub_32.c,Memory leak,Dead initialization,Fail
CWE191_Integer_Underflow__int_min_sub_01.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_fgets_sub_72a.cpp,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_fscanf_sub_06.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_fgets_multiply_22a.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_fscanf_sub_65a.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_connect_socket_sub_67a.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_min_multiply_34.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_listen_socket_sub_03.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_listen_socket_multiply_45.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_min_multiply_15.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_fscanf_multiply_68a.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_fgets_multiply_81a.cpp,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_fscanf_sub_66a.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_listen_socket_multiply_81a.cpp,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int64_t_rand_sub_65a.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_connect_socket_multiply_06.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_connect_socket_multiply_72a.cpp,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_min_sub_32.c,Memory leak,Dead initialization,Fail
CWE191_Integer_Underflow__int_connect_socket_multiply_52a.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_min_multiply_72a.cpp,Memory leak,Dead assignment,Fail
