CWE122_Heap_Based_Buffer_Overflow_s06

Total files, 886

Files not reported, 616

Total OKs, 30, 3.38600451467269%
Total Fails, 240, 27.0880361173815%

File, Expected Bugs, Found Bugs, Bug was found?

CWE122_Heap_Based_Buffer_Overflow__CWE131_memmove_05.c,Memory leak,Argument with 'nonnull' attribute passed null,Fail
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fscanf_15.c,Memory leak,Dead assignment,Fail
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fscanf_82a.cpp,Memory leak,Dead assignment,Fail
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_cpy_34.c,Memory leak,Memory leak,OK
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fscanf_45.c,Memory leak,Dead assignment,Fail
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fscanf_32.c,Memory leak,Dead initialization,Fail
CWE122_Heap_Based_Buffer_Overflow__CWE135_03.c,Memory leak,Memory leak,OK
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_large_51a.c,Memory leak,Dead assignment,Fail
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_rand_01.c,Memory leak,Dead assignment,Fail
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_rand_51a.c,Memory leak,Dead assignment,Fail
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_cpy_09.c,Memory leak,Out-of-bound array access;Argument with 'nonnull' attribute passed null,Fail
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_memcpy_33.cpp,Memory leak,Dead assignment,Fail
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_connect_socket_04.c,Memory leak,Dead assignment,Fail
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_rand_54a.c,Memory leak,Dead assignment,Fail
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_memcpy_32.c,Memory leak,Dead initialization,Fail
CWE122_Heap_Based_Buffer_Overflow__CWE135_07.c,Memory leak,Argument with 'nonnull' attribute passed null;Memory leak,OK
CWE122_Heap_Based_Buffer_Overflow__CWE135_05.c,Memory leak,Memory leak;Argument with 'nonnull' attribute passed null,OK
CWE122_Heap_Based_Buffer_Overflow__CWE135_41.c,Memory leak,Memory leak,OK
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_listen_socket_12.c,Memory leak,Dead assignment,Fail
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_cpy_17.c,Memory leak,Out-of-bound array access,Fail
CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_loop_07.c,Memory leak,Dereference of null pointer,Fail
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_listen_socket_68a.c,Memory leak,Dead assignment,Fail
